key,type,time
Shift,keydown,5698.899999999907
I,keydown,5885.399999999907
Shift,keyup,5974.699999999953
i,keyup,6001.300000000047
 ,keydown,6158.0
 ,keyup,6256.199999999953
l,keydown,6723.699999999953
l,keyup,6849.199999999953
o,keydown,6939.800000000047
o,keyup,7058.0
v,keydown,8467.300000000047
v,keyup,8622.5
e,keydown,8762.600000000093
e,keyup,8911.399999999907
 ,keydown,9147.199999999953
 ,keyup,9274.5
f,keydown,9693.0
f,keyup,9842.199999999953
o,keydown,9876.399999999907
o,keyup,9999.899999999907
o,keydown,10077.399999999907
o,keyup,10194.0
t,keydown,10707.300000000047
t,keyup,10877.899999999907
b,keydown,11507.600000000093
b,keyup,11641.100000000093
a,keydown,11761.899999999907
a,keyup,11962.300000000047
l,keydown,12016.5
l,keyup,12140.600000000093
l,keydown,12198.600000000093
l,keyup,12323.899999999907
